description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw Serie 3 1.8 318l,US$8.200,8200,1997,1997,200.000 Km,200000,Olavarría - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1485257837-bmw-1997-318tds-compact-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 330i Executiv Stept,US$36.500,36500,2008,2008,55.000 Km,55000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2012944346-bmw-serie-3-30-330i-executiv-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$31.500,31500,2018,2018,105.000 Km,105000,Hurlingham - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2097288330-bmw-serie-3-20-320i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.5 325i Sedan Executive,US$21.000,21000,2010,2010,92.000 Km,92000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2038328748-bmw-serie-325i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.5 325i Coupe Executive Stept,US$29.000.000,29000000,2012,2012,82.000 Km,82000,Villa María - Córdoba,https://auto.mercadolibre.com.ar/MLA-2100572732-bmw-serie-3-25-325i-coupe-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 325i Executive Coupe,US$18.800,18800,2008,2008,200.000 Km,200000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1483072405-bmw-325i-executive-coupe-ano-2008-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 M340i Xdrive M Performance,US$102.900,102900,2025,2025,5.800 Km,5800,Del Viso - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2098577352-bmw-serie-3-30-m340i-xdrive-m-performance-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$28.800,28800,2016,2016,144.000 Km,144000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2055514926-bmw-serie-3-20-320i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 318i Sedan Executive 136cv,US$20.000.000,20000000,2018,2018,146.000 Km,146000,Azul - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1496077309-bmw-318-i-executive-20-mt-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$32.000,32000,2017,2017,100.000 Km,100000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2090742622-bmw-serie-3-2017-20-320i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 335i M Sport Biturbo,US$21.000,21000,2007,2007,160.000 Km,160000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2037131378-bmw-serie-3-30-335i-m-sport-biturbo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 318is Sedan,US$7.500,7500,1993,1993,240.000 Km,240000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1481351349-bmw-serie-3-20-318is-sedan-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 330i Sedan Executive Step,US$18.000,18000,2010,2010,160.000 Km,160000,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2042016332-bmw-serie-3-2010-30-330i-sedan-executive-step-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Luxury 245cv,US$21.000,21000,2014,2014,209.000 Km,209000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2094045362-bmw-serie-3-20-328i-luxury-245cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 335i Sedan M Package 306cv,US$29.999,29999,2013,2013,107.000 Km,107000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2090997360-bmw-serie-3-30-335i-sedan-m-package-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.5 325i Sedan Executive,US$16.000,16000,2010,2010,170.000 Km,170000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1493921533-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$19.500.000,19500000,2011,2011,180.000 Km,180000,Merlo - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2089124878-bmw-320i-sedan-executive-20-2011-anticipo-9200000-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Luxury 245cv,US$26.500.000,26500000,2012,2012,98.000 Km,98000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2099787506-bmw-serie-3-20-328i-luxury-245cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
