description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw X3 2.0 30i,US$46.500,46500,2018,2018,94.000 Km,94000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2062115344-bmw-x-3-30-i-xdrive-xline-2018-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↓
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$41.500,41500,2017,2017,80.000 Km,80000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1502639705-bmw-x3-30-x3-xdrive-35i-m-package-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↓
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$45.000,45000,2017,2017,62.000 Km,62000,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-1490425891-bmw-x3-m-package-35-i-xdrive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↓
Bmw X3 30i Xdrive 252 Cv,US$69.900,69900,2020,2020,65.850 Km,65850,Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2056768296-bmw-x3-30i-xdrive-todo-terreno-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 I Executive,US$11.500,11500,2008,2008,188.000 Km,188000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2066365804-bmw-x3-30-x3-i-executive-auto-mania-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$31.000,31000,2012,2012,130.000 Km,130000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1503000341-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$31.300,31300,2014,2014,155.000 Km,155000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2058853094-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 30i 2.0 252cv Xline Xdrive,US$59.000,59000,2018,2018,45.000 Km,45000,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2070468550-bmw-x3-30i-20-252cv-xline-xdrive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$56.000,56000,2018,2018,47.350 Km,47350,Ezeiza - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2036848844-bmw-x3-30-x3-xdrive-35i-m-package-306cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 Bwm X3 2.0 Xdrive 30i Xline,US$64.990,64990,2020,2020,88.000 Km,88000,Ezeiza - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2041834600-bwm-x3-20-xdrive-30i-xline-2020-cc-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,=
