description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$29.000.000,29000000,2013,2013,57.000 Km,57000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2072148542-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic Sport 231cv At,US$19.500,19500,2012,2012,155.000 Km,155000,Luján - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2075175754-mercedes-benz-clase-glk-30-glk300-4matic-sport-231cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$17.500,17500,2011,2011,128.000 Km,128000,Mercedes - Corrientes,https://auto.mercadolibre.com.ar/MLA-1495506461-mercedes-benz-clase-glk-2011-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$25.000,25000,2014,2014,209.000 Km,209000,Pinamar - Província De Buenos Aires,https://auto.mercadolibre.com.ar/MLA-2099562882-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$24.500,24500,2013,2013,135.000 Km,135000,Marcos Paz - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2086853262-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$27.600,27600,2011,2011,113.000 Km,113000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2080012286-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 City 4matic,US$18.500,18500,2010,2010,200.000 Km,200000,Villa Allende - Córdoba,https://auto.mercadolibre.com.ar/MLA-1498319663-mercedes-benz-clase-glk-25-glk300-v6-city-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 City 4matic,US$21.000.000,21000000,2010,2010,115.000 Km,115000,Guatraché - La Pampa,https://auto.mercadolibre.com.ar/MLA-2082553172-mercedes-benz-clase-glk-25-glk300-v6-city-4matic-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic Sport 247cv At,US$27.000,27000,2013,2013,150.000 Km,150000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2092612930-mercedes-benz-clase-glk-35-glk300-4matic-sport-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic Sport 247cv At,US$21.000,21000,2013,2013,189.000 Km,189000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2078415874-mercedes-benz-clase-glk-35-glk300-4matic-sport-247cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 City 4matic,US$14.000,14000,2010,2010,330.000 Km,330000,Marcos Paz - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2100861370-mercedes-benz-clase-glk-25-glk300-v6-city-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$15.500,15500,2011,2011,215.000 Km,215000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2092686248-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic Sport 231cv At,US$21.000,21000,2011,2011,143.000 Km,143000,Escalante - Chubut,https://auto.mercadolibre.com.ar/MLA-1497677473-mercedes-benz-clase-glk-30-glk300-4matic-sport-231cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic Sport 247cv At,US$23.000,23000,2014,2014,160.000 Km,160000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2074523044-mercedes-benz-clase-glk-35-glk300-4matic-sport-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$21.000,21000,2013,2013,169.000 Km,169000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2094921302-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
