description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw X5 3.0 D Executive,US$20.000,20000,2008,2008,170.000 Km,170000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2096290654-bmw-x5-30-d-executive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Iexecutive Stept,US$18.000,18000,2005,2005,177.000 Km,177000,San Miguel De Tucumán - Tucumán,https://auto.mercadolibre.com.ar/MLA-1499974109-bmw-x5-30-iexecutive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$24.700,24700,2010,2010,137.000 Km,137000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1499871085-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Iexecutive Stept,US$14.500,14500,2005,2005,278.000 Km,278000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1497310841-bmw-x5-30-iexecutive-stept-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive Stept.,US$19.990,19990,2007,2007,141.565 Km,141565,Corrientes - Corrientes,https://auto.mercadolibre.com.ar/MLA-1500358041-bmw-x5-30-d-executive-stept-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Ipremium,US$24.000,24000,2005,2005,88.000 Km,88000,San Luis - San Luis,https://auto.mercadolibre.com.ar/MLA-2078967756-bmw-x5-30i-e53-2005-automaticasecuencial-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive Stept,US$18.000,18000,2008,2008,177.000 Km,177000,San Jerónimo - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2077552626-bmw-x5-30-d-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$26.000,26000,2010,2010,176.000 Km,176000,Esteban Echeverría - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2096774458-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 30d Executive 245cv,US$27.500,27500,2011,2011,130.000 Km,130000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2079571924-bmw-x5-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive Stept,US$28.000,28000,2008,2008,190.000 Km,190000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2088765136-bmw-x5-30-d-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
